AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,"45,070",4.1,23.679,0.72,,41.69,"86,720",1.2,20.73,28.15,39.06,52.81,67.94,"43,120","58,550","81,250","109,850","141,320",,
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,"4,900",12.1,2.574,0.62,,44.97,"93,530",2.0,26.99,33.44,42.57,55.11,67.29,"56,130","69,560","88,550","114,620","139,960",,
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,15-1212,Information Security Analysts,detailed,"1,900",8.7,0.997,1.00,,41.65,"86,640",2.3,21.16,28.72,39.30,53.27,65.94,"44,000","59,740","81,750","110,790","137,160",,
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,15-1221,Computer and Information Research Scientists,detailed,380,17.3,0.201,0.92,,60.84,"126,550",3.7,37.24,49.18,58.93,69.41,82.08,"77,470","102,300","122,580","144,370","170,730",,
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,15-1231,Computer Network Support Specialists,detailed,"1,210",6.1,0.633,0.48,,30.64,"63,740",2.6,19.86,23.19,28.64,35.31,44.06,"41,310","48,240","59,570","73,450","91,640",,
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,15-1232,Computer User Support Specialists,detailed,"6,700",5.2,3.520,0.77,,24.42,"50,790",1.7,14.53,18.03,23.02,29.41,37.07,"30,230","37,500","47,880","61,180","77,100",,
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,15-1241,Computer Network Architects,detailed,"1,810",16.6,0.951,0.83,,53.13,"110,510",2.6,33.41,40.96,51.02,63.33,75.52,"69,500","85,210","106,120","131,730","157,090",,
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,15-1244,Network and Computer Systems Administrators,detailed,"4,400",3.8,2.312,0.95,,37.14,"77,250",1.4,21.71,27.87,35.76,44.98,55.38,"45,150","57,960","74,390","93,560","115,190",,
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,15-1245,Database Administrators and Architects,detailed,"2,270",3.4,1.194,1.24,,41.15,"85,600",1.5,24.47,30.08,38.85,49.88,61.33,"50,890","62,570","80,820","103,750","127,580",,
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,15-1251,Computer Programmers,detailed,"3,870",8.6,2.034,1.59,,42.33,"88,040",2.3,24.53,31.13,40.30,51.21,65.65,"51,020","64,750","83,820","106,520","136,550",,
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,"13,570",5.3,7.129,0.67,,49.48,"102,920",1.5,26.99,35.56,47.37,62.68,77.97,"56,140","73,960","98,530","130,380","162,180",,
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,15-1257,Web Developers and Digital Interface Designers,detailed,710,12.0,0.373,0.33,,34.23,"71,190",5.3,16.67,23.02,30.56,39.92,57.72,"34,670","47,880","63,560","83,040","120,060",,
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,15-1299,"Computer Occupations, All Other",detailed,"2,280",3.7,1.196,0.46,,41.50,"86,320",4.0,21.18,31.81,42.46,51.18,58.94,"44,060","66,150","88,320","106,450","122,590",,
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,15-2011,Actuaries,detailed,80,43.1,0.041,0.25,,61.65,"128,230",9.4,33.12,39.76,53.34,72.78,#,"68,890","82,690","110,940","151,380",#,,
